Family_name;Number_of_sequences
CLU_079283_5_1; 85
CLU_079546_0_0; 220
CLU_079764_0_0; 47
CLU_080076_0_0; 121
CLU_080597_2_1; 221
CLU_080796_1_0; 213
CLU_080904_0_0; 168
CLU_080904_1_2; 49
CLU_081185_0_0; 28
CLU_081251_3_4; 185
CLU_081314_0_0; 109
CLU_081378_1_1; 265
CLU_081790_1_0; 34
CLU_082080_1_0; 196
CLU_082093_0_1; 139
CLU_082102_0_0; 122
CLU_082268_0_0; 186
CLU_082268_0_1; 160
CLU_082641_1_0; 23
CLU_082805_6_1; 220
CLU_083287_18_0; 99
CLU_083287_27_4; 32
CLU_083486_0_1; 19
CLU_083919_1_1; 219
CLU_083987_0_2; 219
CLU_084051_0_2; 218
CLU_084513_4_0; 220
CLU_084671_1_0; 101
CLU_084703_1_1; 38
CLU_085055_0_1; 24
CLU_085935_0_0; 60
CLU_086368_0_0; 10
CLU_086561_0_0; 66
CLU_087476_2_1; 74
CLU_087508_0_0; 119
CLU_087860_3_1; 36
CLU_088165_0_0; 36
CLU_088476_0_0; 169
CLU_089162_3_0; 53
CLU_089249_0_0; 36
CLU_089550_0_0; 105
CLU_089738_1_1; 220
CLU_089858_1_1; 36
CLU_089900_0_0; 33
CLU_090028_6_2; 15
CLU_090139_2_0; 221
CLU_090381_5_0; 113
CLU_090381_5_1; 27
CLU_090381_5_2; 10
CLU_090389_10_1; 114
CLU_090389_10_2; 59
CLU_090389_18_2; 81
CLU_090389_20_2; 54
CLU_090468_1_1; 212
CLU_090889_1_0; 33
CLU_090940_1_1; 102
CLU_090976_1_0; 51
CLU_091228_3_0; 26
CLU_091233_5_4; 490
CLU_091867_1_1; 52
CLU_093240_2_1; 199
CLU_093768_0_0; 23
CLU_094143_0_0; 69
CLU_094236_1_1; 24
CLU_094838_0_0; 72
CLU_094838_1_0; 79
CLU_094865_0_1; 17
CLU_094876_0_0; 62
CLU_094876_3_0; 42
CLU_094970_2_0; 83
CLU_094982_2_0; 79
CLU_095071_3_0; 208
CLU_095207_1_0; 81
CLU_095211_0_0; 69
CLU_095686_1_1; 176
CLU_095787_4_1; 30
CLU_095956_1_0; 93
CLU_096329_1_0; 120
CLU_096980_1_2; 113
CLU_097347_1_1; 109
CLU_098183_0_1; 54
CLU_098428_1_1; 219
CLU_098588_0_0; 117
CLU_098807_3_1; 138
CLU_098907_0_0; 143
CLU_099037_1_0; 20
CLU_099315_0_0; 145
CLU_100097_0_0; 184
CLU_1006890_0_0; 83
CLU_100745_3_1; 35
CLU_100857_0_0; 34
CLU_100863_0_0; 128
CLU_100863_1_0; 32
CLU_1010556_0_0; 21
CLU_101141_3_2; 16
CLU_101320_2_0; 152
CLU_101758_3_0; 42
CLU_1017851_0_0; 62
CLU_102600_3_0; 220
CLU_1032980_0_0; 5
CLU_103610_1_1; 219
CLU_103849_0_0; 158
CLU_104194_0_0; 62
CLU_104194_2_3; 25
CLU_104506_4_0; 94
CLU_104921_0_0; 226
CLU_104937_0_0; 49
CLU_1052127_0_0; 6
CLU_105244_2_0; 212
CLU_1056107_0_0; 19
CLU_105797_0_0; 21
CLU_105846_1_0; 49
CLU_105945_1_4; 9
CLU_1060147_0_0; 9
CLU_106570_0_0; 35
CLU_107018_0_0; 134
CLU_107020_1_0; 16
CLU_107020_2_1; 69
CLU_1072074_0_0; 20
CLU_107248_3_1; 136
CLU_107248_3_2; 56
CLU_107445_0_0; 10
CLU_107892_1_0; 98
CLU_107894_1_0; 22
CLU_107897_1_0; 30
CLU_107938_2_0; 67
CLU_108341_0_0; 23
CLU_108521_1_0; 32
CLU_108521_2_0; 89
CLU_108559_1_0; 219
CLU_108779_0_0; 17
CLU_108783_0_0; 261
CLU_1088213_0_0; 24
CLU_1088271_0_0; 20
CLU_108923_6_1; 18
CLU_109098_1_2; 251
CLU_109163_0_0; 218
CLU_1092436_0_0; 98
CLU_109671_1_1; 165
CLU_1100964_0_0; 17
CLU_110454_2_1; 18
CLU_1105255_0_0; 22
CLU_110565_0_0; 105
CLU_110881_2_0; 34
CLU_110989_1_0; 152
CLU_110989_2_0; 20
CLU_111362_3_0; 163
CLU_1113837_0_0; 7
CLU_111585_5_2; 47
CLU_112527_4_0; 25
CLU_112527_5_0; 116
CLU_112567_1_2; 13
CLU_112570_3_2; 156
CLU_113589_0_0; 212
CLU_114051_2_3; 35
CLU_114389_2_0; 49
CLU_114393_0_0; 132
CLU_114601_1_2; 253
CLU_114601_9_3; 69
CLU_114601_9_4; 64
CLU_114645_3_0; 200
CLU_115574_0_1; 217
CLU_116578_1_0; 104
CLU_116732_2_1; 3
CLU_116765_4_2; 47
CLU_117605_1_0; 155
CLU_117966_0_0; 222
CLU_118423_0_0; 20
CLU_118652_2_0; 97
CLU_118960_2_1; 56
CLU_119371_0_0; 134
CLU_119412_2_0; 75
CLU_1197648_0_0; 15
CLU_119858_0_0; 16
CLU_119977_0_0; 10
CLU_1207659_0_0; 19
CLU_120836_0_0; 12
CLU_121274_0_0; 48
CLU_121774_1_4; 24
CLU_121774_5_0; 60
CLU_122625_0_1; 218
CLU_122978_3_0; 204
CLU_123700_0_0; 84
CLU_123704_1_0; 111
CLU_123709_0_0; 200
CLU_1237956_0_0; 19
CLU_125807_0_1; 40
CLU_1264587_0_0; 53
CLU_126929_2_0; 91
CLU_127515_4_2; 33
CLU_128576_0_0; 209
CLU_128702_1_0; 7
CLU_128747_3_3; 94
CLU_130237_0_0; 201
CLU_130257_9_4; 51
CLU_1302679_0_0; 19
CLU_130502_1_0; 161
CLU_130694_6_1; 99
CLU_1307872_0_0; 3
CLU_131306_0_0; 100
CLU_131496_11_0; 37
CLU_131518_3_0; 6
CLU_131518_4_0; 29
CLU_131897_1_0; 60
CLU_131909_0_1; 72
CLU_133051_0_0; 27
CLU_1340791_0_0; 9
CLU_1346434_0_0; 30
CLU_134829_0_0; 98
CLU_134829_1_0; 80
CLU_1352116_0_0; 81
CLU_135754_2_0; 41
CLU_135754_2_2; 115
CLU_135994_0_0; 163
CLU_136588_0_0; 21
CLU_137228_4_1; 9
CLU_137228_5_0; 44
CLU_137479_1_2; 5
CLU_137479_3_1; 42
CLU_1375506_0_0; 39
CLU_137733_1_0; 101
CLU_1381418_0_0; 134
CLU_138382_0_0; 90
CLU_139144_1_1; 20
CLU_139546_0_0; 67
CLU_139546_1_0; 45
CLU_139546_2_0; 35
CLU_139698_6_4; 65
CLU_139906_0_1; 37
CLU_140165_0_0; 46
CLU_140379_1_0; 17
CLU_140786_2_0; 34
CLU_141199_2_0; 171
CLU_141432_0_0; 32
CLU_141583_2_0; 135
CLU_141932_2_1; 35
CLU_142041_0_0; 69
CLU_142042_0_0; 11
CLU_142656_0_0; 4
CLU_142859_0_0; 16
CLU_142910_0_0; 14
CLU_143122_1_1; 139
CLU_1438179_0_0; 19
CLU_144084_1_0; 45
CLU_1451416_0_0; 30
CLU_145828_0_0; 26
CLU_145829_0_0; 46
CLU_146465_0_0; 221
CLU_146475_0_0; 86
CLU_147150_0_0; 6
CLU_1472150_0_0; 4
CLU_147287_1_1; 35
CLU_148073_2_0; 16
CLU_148445_0_0; 47
CLU_148458_0_0; 68
CLU_149105_1_0; 128
CLU_1507297_0_0; 20
CLU_1507438_0_0; 12
CLU_151247_1_0; 31
CLU_151711_0_0; 21
CLU_152346_1_0; 55
CLU_152994_0_0; 21
CLU_153199_1_0; 21
CLU_1536581_0_0; 7
CLU_1536690_0_0; 42
CLU_155761_5_1; 6
CLU_157018_0_0; 5
CLU_158491_2_2; 162
CLU_159086_1_0; 104
CLU_1590951_0_0; 19
CLU_159100_0_0; 12
CLU_159381_2_2; 120
CLU_159724_0_0; 33
CLU_1599075_0_0; 19
CLU_160441_0_0; 29
CLU_160450_0_0; 16
CLU_160472_2_0; 50
CLU_161124_0_1; 77
CLU_161124_2_0; 64
CLU_161196_1_1; 33
CLU_1615392_0_0; 19
CLU_161782_1_0; 50
CLU_162441_0_0; 108
CLU_1631727_0_0; 16
CLU_1631728_0_0; 5
CLU_1648272_0_0; 35
CLU_164833_3_0; 92
CLU_165227_0_0; 3
CLU_165255_1_2; 108
CLU_165882_1_0; 120
CLU_165884_1_0; 24
CLU_165892_1_0; 49
CLU_165896_0_0; 139
CLU_166059_0_0; 41
CLU_167318_1_0; 108
CLU_1682726_0_0; 72
CLU_1682776_0_0; 131
CLU_1691544_0_0; 29
CLU_1691612_0_0; 21
CLU_169299_1_0; 197
CLU_170076_0_1; 33
CLU_172322_0_0; 11
CLU_1736436_0_0; 14
CLU_173771_0_0; 9
CLU_173773_0_0; 31
CLU_173940_2_2; 12
CLU_174522_0_0; 139
CLU_175093_1_0; 60
CLU_1754804_0_0; 17
CLU_1763960_0_0; 3
CLU_176720_0_1; 46
CLU_176720_1_0; 116
CLU_177289_2_2; 166
CLU_1773154_0_0; 50
CLU_177460_0_1; 66
CLU_177461_0_0; 5
CLU_177471_0_0; 20
CLU_178227_0_0; 19
CLU_178987_2_1; 184
CLU_179456_2_0; 56
CLU_179456_2_1; 131
CLU_179743_2_0; 155
CLU_179754_1_0; 118
CLU_1801715_0_0; 16
CLU_180506_0_0; 132
CLU_180631_1_0; 5
CLU_181210_0_0; 21
CLU_181235_0_0; 18
CLU_181948_4_0; 199
CLU_182712_0_0; 7
CLU_182721_0_0; 211
CLU_1830686_0_0; 19
CLU_183474_0_0; 101
CLU_183476_0_0; 10
CLU_184949_0_0; 16
CLU_184956_0_0; 20
CLU_187355_0_0; 16
CLU_188099_0_0; 22
CLU_188105_0_0; 31
CLU_1881165_0_0; 20
CLU_1891542_0_0; 19
CLU_190191_0_0; 194
CLU_1902044_0_0; 18
CLU_191921_0_0; 15
CLU_191921_0_1; 37
CLU_193458_0_0; 104
CLU_1954540_0_0; 4
