Family_name;Number_of_sequences
CLU_001884_1_0; 160
CLU_001908_0_0; 81
CLU_001909_0_0; 42
CLU_001929_0_0; 94
CLU_001935_1_0; 280
CLU_001935_1_1; 238
CLU_001945_0_0; 54
CLU_001965_3_0; 126
CLU_001979_0_0; 56
CLU_001979_0_1; 8
CLU_001979_2_1; 34
CLU_001988_0_0; 191
CLU_001992_2_1; 272
CLU_001994_0_0; 62
CLU_001996_2_0; 50
CLU_002015_0_0; 54
CLU_002017_1_2; 54
CLU_002023_1_0; 355
CLU_002039_3_1; 54
CLU_002040_1_0; 80
CLU_002048_0_0; 65
CLU_002068_1_0; 119
CLU_002069_0_0; 33
CLU_002069_2_0; 242
CLU_002075_1_0; 224
CLU_002096_1_1; 101
CLU_002096_2_1; 467
CLU_002106_0_0; 30
CLU_002106_1_0; 48
CLU_002108_0_0; 75
CLU_002108_1_0; 39
CLU_002115_1_0; 336
CLU_002128_0_0; 73
CLU_002136_0_0; 670
CLU_002147_1_0; 47
CLU_002149_0_0; 79
CLU_002162_4_1; 73
CLU_002167_0_0; 53
CLU_002173_0_0; 416
CLU_002173_0_1; 225
CLU_002173_0_3; 144
CLU_002173_1_1; 155
CLU_002173_14_0; 125
CLU_002173_14_3; 9
CLU_002173_3_0; 29
CLU_002173_5_0; 205
CLU_002173_9_0; 54
CLU_002189_0_0; 36
CLU_002190_0_0; 73
CLU_002191_0_2; 60
CLU_002191_1_0; 78
CLU_002191_1_1; 92
CLU_002191_1_3; 181
CLU_002191_2_0; 33
CLU_002227_3_0; 323
CLU_002242_0_0; 73
CLU_002242_0_1; 503
CLU_002264_0_0; 11
CLU_002265_0_0; 7
CLU_002265_1_0; 87
CLU_002274_2_0; 66
CLU_002274_2_1; 270
CLU_002274_2_3; 94
CLU_002274_2_4; 38
CLU_002274_4_6; 94
CLU_002277_0_0; 15
CLU_002289_1_0; 187
CLU_002289_3_2; 173
CLU_002290_0_0; 47
CLU_002298_1_1; 146
CLU_002317_0_0; 118
CLU_002322_1_1; 90
CLU_002323_0_0; 375
CLU_002330_0_0; 226
CLU_002330_1_0; 99
CLU_002333_5_0; 654
CLU_002333_5_2; 155
CLU_002336_1_0; 125
CLU_002346_0_0; 196
CLU_002351_3_0; 344
CLU_002351_7_2; 467
CLU_002356_0_0; 149
CLU_002356_0_1; 50
CLU_002356_1_0; 161
CLU_002359_0_0; 206
CLU_002359_6_0; 10
CLU_002360_3_0; 706
CLU_002360_4_3; 243
CLU_002360_6_0; 515
CLU_002360_6_4; 510
CLU_002360_9_0; 496
CLU_002360_9_2; 552
CLU_002369_1_0; 335
CLU_002373_2_0; 17
CLU_002373_2_1; 51
CLU_002378_0_0; 82
CLU_002378_1_0; 42
CLU_002391_0_1; 238
CLU_002392_2_1; 278
CLU_002400_0_0; 37
CLU_002412_0_0; 83
CLU_002415_0_0; 357
CLU_002419_0_0; 28
CLU_002446_2_0; 286
CLU_002446_6_0; 105
CLU_002448_1_0; 92
CLU_002466_1_1; 54
CLU_002469_0_0; 76
CLU_002472_0_1; 65
CLU_002472_10_0; 503
CLU_002472_1_3; 141
CLU_002486_0_0; 468
CLU_002489_0_0; 142
CLU_002495_1_0; 53
CLU_002513_3_2; 31
CLU_002522_1_0; 43
CLU_002523_0_0; 72
CLU_002527_0_0; 29
CLU_002537_0_0; 39
CLU_002540_2_1; 226
CLU_002556_0_0; 771
CLU_002556_4_0; 73
CLU_002562_1_0; 157
CLU_002568_0_0; 83
CLU_002568_0_1; 166
CLU_002568_2_1; 124
CLU_002568_3_0; 31
CLU_002568_3_1; 223
CLU_002568_3_2; 145
CLU_002572_1_0; 381
CLU_002584_1_0; 48
CLU_002598_0_0; 21
CLU_002598_1_0; 111
CLU_002599_0_0; 61
CLU_002603_0_0; 82
CLU_002617_0_0; 4
CLU_002618_1_1; 26
CLU_002623_1_0; 52
CLU_002626_1_1; 30
CLU_002626_2_1; 19
CLU_002626_4_4; 164
CLU_002633_1_0; 70
CLU_002633_2_1; 57
CLU_002640_0_0; 161
CLU_002645_0_0; 30
CLU_002646_0_0; 54
CLU_002646_0_1; 101
CLU_002648_0_0; 39
CLU_002656_0_1; 54
CLU_002656_1_0; 311
CLU_002668_1_0; 396
CLU_002670_2_0; 36
CLU_002678_17_0; 52
CLU_002678_17_1; 1201
CLU_002678_18_0; 41
CLU_002678_23_3; 30
CLU_002678_27_0; 13
CLU_002678_30_1; 54
CLU_002678_32_0; 35
CLU_002678_33_0; 169
CLU_002678_33_1; 101
CLU_002678_33_3; 96
CLU_002678_35_1; 15
CLU_002678_37_1; 142
CLU_002678_42_18; 304
CLU_002678_42_27; 67
CLU_002678_42_2; 101
CLU_002678_42_3; 294
CLU_002678_49_3; 479
CLU_002678_49_8; 541
CLU_002678_53_1; 32
CLU_002678_53_2; 123
CLU_002678_57_1; 370
CLU_002678_69_14; 97
CLU_002678_70_0; 60
CLU_002678_71_1; 54
CLU_002678_77_1; 104
CLU_002678_94_13; 200
CLU_002678_94_9; 126
CLU_002688_1_0; 12
CLU_002688_2_1; 212
CLU_002690_0_0; 65
CLU_002701_0_0; 63
CLU_002704_0_0; 24
CLU_002706_49_8; 208
CLU_002711_0_1; 24
CLU_002711_1_1; 28
CLU_002711_2_0; 51
CLU_002711_5_0; 121
CLU_002738_2_0; 196
CLU_002738_2_1; 101
CLU_002738_5_0; 132
CLU_002738_5_1; 48
CLU_002744_0_0; 138
CLU_002753_0_1; 20
CLU_002753_1_1; 109
CLU_002753_3_0; 202
CLU_002753_3_7; 271
CLU_002753_3_9; 205
CLU_002753_4_0; 213
CLU_002753_4_1; 173
CLU_002753_4_2; 255
CLU_002753_4_3; 117
CLU_002753_4_4; 367
CLU_002753_4_6; 26
CLU_002754_0_0; 60
CLU_002761_0_0; 104
CLU_002774_1_0; 196
CLU_002774_2_0; 275
CLU_002778_0_0; 258
CLU_002782_0_1; 120
CLU_002794_11_1; 178
CLU_002794_11_2; 1127
CLU_002794_3_1; 539
CLU_002794_3_2; 27
CLU_002795_0_0; 108
CLU_002800_0_0; 22
CLU_002808_0_0; 152
CLU_002809_0_0; 4
CLU_002819_0_0; 44
CLU_002819_2_0; 128
CLU_002828_0_0; 108
CLU_002833_1_3; 114
CLU_002833_3_0; 178
CLU_002833_3_1; 419
CLU_002833_3_2; 195
CLU_002833_4_0; 11
CLU_002848_0_0; 382
CLU_002849_2_0; 65
CLU_002865_5_1; 445
CLU_002865_6_0; 905
CLU_002865_6_3; 1116
CLU_002893_0_1; 192
CLU_002900_0_0; 25
CLU_002900_1_0; 101
CLU_002900_1_1; 44
CLU_002902_0_1; 561
CLU_002902_1_4; 430
CLU_002916_1_0; 59
CLU_002922_0_0; 61
CLU_002929_1_0; 155
CLU_002929_1_2; 136
CLU_002976_2_1; 323
CLU_002976_4_0; 112
CLU_002976_4_1; 99
CLU_002991_0_0; 112
CLU_002993_0_0; 78
CLU_003016_2_1; 338
CLU_003016_5_1; 65
CLU_003016_5_2; 48
CLU_003016_7_4; 540
CLU_003018_2_0; 148
CLU_003021_0_0; 87
CLU_003033_1_0; 151
CLU_003033_2_0; 357
CLU_003038_0_0; 36
CLU_003040_0_0; 84
CLU_003041_0_2; 173
CLU_003041_1_0; 2909
CLU_003041_11_0; 83
CLU_003041_11_3; 298
CLU_003041_11_4; 97
CLU_003041_1_1; 1146
CLU_003041_1_4; 535
CLU_003041_1_5; 902
CLU_003041_16_3; 784
CLU_003041_16_4; 180
CLU_003041_16_5; 273
CLU_003041_16_8; 135
CLU_003041_20_0; 223
CLU_003041_26_1; 539
CLU_003041_26_5; 612
CLU_003041_26_6; 642
CLU_003041_30_0; 518
CLU_003051_2_0; 50
CLU_003051_2_1; 71
CLU_003084_1_0; 188
CLU_003103_1_0; 185
CLU_003119_3_0; 81
CLU_003125_3_2; 78
CLU_003163_1_0; 143
CLU_003170_1_0; 64
CLU_003181_2_1; 315
CLU_003182_9_4; 494
